«Математика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 297;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/math/ !!
«Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 281;!!Стоимость обучения, тыс. руб. в год: 400;!!Сайт образовательной программы: !https://www.hse.ru/ba/cpm/ !!
«Прикладная математика и информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 303;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/ami/ !!
«Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык ;;!!Стоимость обучения, тыс. руб. в год: 680;!!Сайт образовательной программы: !https://www.hse.ru/ba/data/ !!
«Прикладная математика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 280;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/am/ !!
«Физика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 275;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/physics/ !!
«Химия»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Химия;!!Проходной балл на бюджет 2019 года: 282;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/chem/ !!
«География глобальных изменений и геоинформационные технологии»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. География;;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/geography !!
«Клеточная и молекулярная биотехнология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Биология;!!Проходной балл на бюджет 2019 года: 287;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/cmb/ !!
«Городское планирование»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Обществознание;!!Проходной балл на бюджет 2019 года: 283;!!Стоимость обучения, тыс. руб. в год: 490;!!Сайт образовательной программы: !https://www.hse.ru/ba/up/ !!
«Информатика и вычислительная техника»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 275;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/isct/ !!
«Программная инженерия»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 300;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/se/ !!
«Информационная безопасность»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 288;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/is/ !!
«Компьютерная безопасность»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 292;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/cosec/ !!
«Инфокоммуникационные технологии и системы связи»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 267;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/it/ !!
«Психология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Биология;!!Проходной балл на бюджет 2019 года: 267;!!Стоимость обучения, тыс. руб. в год: 430;!!Сайт образовательной программы: !https://www.hse.ru/ba/psy/ !!
«Экономика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык! 4. Обществознание;!!Проходной балл на бюджет 2019 года: 375;!!Стоимость обучения, тыс. руб. в год: 580;!!Сайт образовательной программы: !https://www.hse.ru/ba/economics/ !!
«Совместная программа по экономике НИУ ВШЭ и РЭШ»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: БВИ;!!Стоимость обучения, тыс. руб. в год: 580;!!Сайт образовательной программы: !https://www.hse.ru/ba/nes/ !!
«Экономика и статистика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 362;!!Стоимость обучения, тыс. руб. в год: 490;!!Сайт образовательной программы: !https://www.hse.ru/ba/stat/ !!
«Мировая экономика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 386;!!Стоимость обучения, тыс. руб. в год: 650;!!Сайт образовательной программы: !https://www.hse.ru/ba/we/ !!
